Model,Seed,Period,Variable,Item,Mean_Value
AF_EVAL,5,1,x,C1,50.932189744255886
AF_EVAL,5,1,I,C1,0.0
AF_EVAL,5,1,x,C2,53.22654622680296
AF_EVAL,5,1,I,C2,0.0
AF_EVAL,5,2,x,C1,13.713660200768746
AF_EVAL,5,2,I,C1,0.0
AF_EVAL,5,2,x,C2,20.793952555142774
AF_EVAL,5,2,I,C2,0.0
AF_EVAL,5,3,x,C1,16.6423790656113
AF_EVAL,5,3,I,C1,19.24192297319561
AF_EVAL,5,3,x,C2,30.666109007020683
AF_EVAL,5,3,I,C2,16.05008985062149
AF_EVAL,5,4,x,C1,49.82855960727984
AF_EVAL,5,4,I,C1,2.2137778408596507
AF_EVAL,5,4,x,C2,27.544494263729835
AF_EVAL,5,4,I,C2,2.2137778408596507
AF_EVAL,5,5,x,C1,28.041943639044742
AF_EVAL,5,5,I,C1,16.67303635990106
AF_EVAL,5,5,x,C2,33.32125696954035
AF_EVAL,5,5,I,C2,12.05399108929534
AF_EVAL,5,6,x,C1,25.15907746331452
AF_EVAL,5,6,I,C1,6.674785185997148
AF_EVAL,5,6,x,C2,20.66793565850225
AF_EVAL,5,6,I,C2,10.695341568323837
AF_EVAL,5,7,x,C1,5.767088494592862
AF_EVAL,5,7,I,C1,9.277284361895742
AF_EVAL,5,7,x,C2,3.864603534129039
AF_EVAL,5,7,I,C2,9.577564782716774
AF_EVAL,5,8,x,C1,0.0
AF_EVAL,5,8,I,C1,0.0
AF_EVAL,5,8,x,C2,0.0
AF_EVAL,5,8,I,C2,0.0
AF_EVAL,5,1,w,P1,60.0
AF_EVAL,5,1,y,P1,4.294964067735285
AF_EVAL,5,1,D,P1,4.294964067735285
AF_EVAL,5,1,w,P2,60.0
AF_EVAL,5,1,y,P2,3.7050359322647135
AF_EVAL,5,1,D,P2,4.294964067735285
AF_EVAL,5,2,w,P1,50.0
AF_EVAL,5,2,y,P1,0.0
AF_EVAL,5,2,D,P1,23.891352243344524
AF_EVAL,5,2,w,P2,55.0
AF_EVAL,5,2,y,P2,0.0
AF_EVAL,5,2,D,P2,13.933129997375133
AF_EVAL,5,3,w,P1,50.0
AF_EVAL,5,3,y,P1,23.328778498031216
AF_EVAL,5,3,D,P1,23.328778498031216
AF_EVAL,5,3,w,P2,50.0
AF_EVAL,5,3,y,P2,22.07514847379781
AF_EVAL,5,3,D,P2,22.07514847379781
AF_EVAL,5,4,w,P1,52.5
AF_EVAL,5,4,y,P1,16.89636165012872
AF_EVAL,5,4,D,P1,17.196692688517533
AF_EVAL,5,4,w,P2,52.5
AF_EVAL,5,4,y,P2,16.774162547818538
AF_EVAL,5,4,D,P2,17.15385133403082
AF_EVAL,5,5,w,P1,50.0
AF_EVAL,5,5,y,P1,17.53595614197215
AF_EVAL,5,5,D,P1,19.88470021164316
AF_EVAL,5,5,w,P2,50.0
AF_EVAL,5,5,y,P2,17.833344946266276
AF_EVAL,5,5,D,P2,20.24095572503558
AF_EVAL,5,6,w,P1,54.6875
AF_EVAL,5,6,y,P1,12.843221790605131
AF_EVAL,5,6,D,P1,13.803835080938487
AF_EVAL,5,6,w,P2,53.75
AF_EVAL,5,6,y,P2,12.296242740793351
AF_EVAL,5,6,D,P2,15.12028629485586
AF_EVAL,5,7,w,P1,53.28125
AF_EVAL,5,7,y,P1,13.956713491720194
AF_EVAL,5,7,D,P1,15.456379713557862
AF_EVAL,5,7,w,P2,54.21875
AF_EVAL,5,7,y,P2,12.969902915728555
AF_EVAL,5,7,D,P2,14.18489424378749
AF_EVAL,5,8,w,P1,55.0
AF_EVAL,5,8,y,P1,11.561549250917984
AF_EVAL,5,8,D,P1,12.870722942354226
AF_EVAL,5,8,w,P2,53.046875
AF_EVAL,5,8,y,P2,12.013515767087974
AF_EVAL,5,8,D,P2,15.913785920632847
REL_EVAL,5,1,x,C1,30.87786977626787
REL_EVAL,5,1,I,C1,0.0
REL_EVAL,5,1,x,C2,53.22654622680296
REL_EVAL,5,1,I,C2,0.0
REL_EVAL,5,2,x,C1,19.16506360538692
REL_EVAL,5,2,I,C1,0.0
REL_EVAL,5,2,x,C2,8.593684298883424
REL_EVAL,5,2,I,C2,0.0
REL_EVAL,5,3,x,C1,22.21716791615844
REL_EVAL,5,3,I,C1,11.940464691510698
REL_EVAL,5,3,x,C2,32.270204809939315
REL_EVAL,5,3,I,C2,15.727036455422898
REL_EVAL,5,4,x,C1,49.1424210453708
REL_EVAL,5,4,I,C1,2.0942877835930207
REL_EVAL,5,4,x,C2,32.25779296122144
REL_EVAL,5,4,I,C2,2.094287783593021
REL_EVAL,5,5,x,C1,32.986214137941346
REL_EVAL,5,5,I,C1,17.171559907968117
REL_EVAL,5,5,x,C2,33.7261463601607
REL_EVAL,5,5,I,C2,13.087232252109878
REL_EVAL,5,6,x,C1,29.89502135776528
