;incumbent;bestbd;gap;time;vss;evpi;vss_ts
0;6481,089753;6481,089753;0;2,358999968;-1;-1;-1
1;6507,434307;6507,434307;0;2,179000139;-1;-1;-1
2;6301,475596;6301,475596;0;2,468000174;-1;-1;-1
3;6427,170492;6427,170492;0;2,197999954;-1;-1;-1
4;6295,574444;6295,574444;0;2,642999887;-1;-1;-1
5;6472,681059;6472,681059;0;2,462999821;-1;-1;-1
6;6431,267586;6431,267586;0;3,851999998;-1;-1;-1
7;5969,349654;5969,349654;0;4,581999779;-1;-1;-1
8;6507,530506;6507,530506;0;3,197999954;-1;-1;-1
9;5948,801502;5948,801502;0;2,166000128;-1;-1;-1
10;6455,409561;6455,409561;0;2,515999794;-1;-1;-1
